Prefecture,2020-01-15,2020-01-24,2020-01-25,2020-01-26,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-04,2020-02-05,2020-02-07,2020-02-10,2020-02-11,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06
三重県,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,17.0,17.0,17.0,19.0,21.0,26.0,33.0,35.0,36.0,39.0,41.0,43.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
不明,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
京都府,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,8.0,12.0,13.0,15.0,17.0,17.0,17.0,17.0,17.0,19.0,21.0,21.0,22.0,23.0,24.0,25.0,27.0,31.0,34.0,35.0,40.0,47.0,67.0,69.0,76.0,88.0,106.0,119.0,125.0,133.0,149.0,155.0,166.0,175.0,181.0,195.0,205.0,210.0,216.0,226.0,235.0,246.0,251.0,259.0,264.0,278.0,284.0,286.0,290.0,295.0,309.0,313.0,317.0,320.0,324.0,331.0,332.0,335.0,339.0,342.0,348.0,349.0,353.0,353.0,353.0,357.0,358.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,360.0,360.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,364.0,364.0,364.0,365.0,366.0,366.0,366.0,366.0,366.0,367.0,371.0,375.0,376.0,380.0,382.0,385.0,388.0,392.0,392.0,392.0,392.0
佐賀県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,8.0,8.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,19.0,21.0,36.0,37.0,37.0,37.0,38.0,41.0,41.0,42.0,42.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
兵庫県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,8.0,10.0,12.0,16.0,25.0,38.0,46.0,56.0,67.0,79.0,84.0,86.0,91.0,95.0,101.0,107.0,113.0,115.0,119.0,119.0,120.0,123.0,131.0,133.0,138.0,156.0,165.0,173.0,183.0,195.0,211.0,217.0,246.0,273.0,304.0,343.0,368.0,384.0,395.0,409.0,441.0,467.0,493.0,509.0,515.0,532.0,550.0,567.0,598.0,611.0,626.0,631.0,635.0,641.0,647.0,650.0,655.0,661.0,671.0,673.0,678.0,681.0,684.0,687.0,694.0,698.0,698.0,699.0,701.0,702.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,706.0,707.0,708.0,708.0,709.0,710.0,710.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0
北海道,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,8.0,18.0,26.0,30.0,36.0,39.0,54.0,66.0,70.0,73.0,77.0,79.0,83.0,86.0,93.0,99.0,105.0,112.0,121.0,130.0,132.0,142.0,146.0,150.0,152.0,152.0,155.0,158.0,158.0,161.0,162.0,163.0,166.0,167.0,168.0,172.0,172.0,176.0,177.0,179.0,183.0,188.0,192.0,193.0,194.0,198.0,208.0,208.0,231.0,251.0,265.0,271.0,285.0,291.0,333.0,353.0,390.0,422.0,446.0,458.0,499.0,519.0,569.0,600.0,634.0,651.0,680.0,732.0,763.0,795.0,834.0,863.0,885.0,897.0,912.0,925.0,934.0,945.0,966.0,976.0,979.0,986.0,992.0,996.0,1010.0,1013.0,1015.0,1016.0,1021.0,1025.0,1035.0,1047.0,1052.0,1057.0,1067.0,1074.0,1079.0,1080.0,1088.0,1091.0,1095.0,1099.0,1102.0,1103.0,1110.0,1117.0,1120.0,1126.0,1131.0,1138.0,1148.0,1161.0,1164.0,1171.0,1176.0,1182.0,1186.0,1188.0,1193.0,1196.0,1199.0,1199.0,1201.0,1210.0,1217.0,1221.0,1224.0,1238.0,1248.0,1263.0,1268.0,1271.0,1275.0,1275.0,1275.0,1275.0,1275.0
千葉県,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,11.0,13.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,19.0,23.0,24.0,25.0,25.0,28.0,30.0,32.0,35.0,35.0,35.0,35.0,39.0,41.0,47.0,49.0,52.0,57.0,58.0,63.0,70.0,76.0,84.0,146.0,176.0,202.0,214.0,221.0,237.0,266.0,297.0,308.0,320.0,357.0,391.0,420.0,461.0,523.0,540.0,557.0,591.0,645.0,679.0,712.0,732.0,757.0,776.0,798.0,820.0,839.0,849.0,859.0,867.0,876.0,884.0,896.0,899.0,905.0,911.0,916.0,917.0,919.0,925.0,930.0,933.0,933.0,938.0,939.0,942.0,942.0,944.0,952.0,953.0,955.0,955.0,958.0,959.0,959.0,959.0,960.0,961.0,962.0,963.0,966.0,968.0,977.0,981.0,985.0,986.0,986.0,989.0,993.0,996.0,999.0,1002.0,1005.0,1022.0,1025.0,1029.0,1034.0,1036.0,1049.0,1059.0,1063.0,1066.0,1069.0,1074.0,1074.0,1078.0,1083.0,1090.0,1100.0,1104.0,1113.0,1117.0,1122.0,1129.0,1142.0,1153.0,1164.0,1164.0,1169.0,1169.0,1169.0
和歌山県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,9.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,21.0,22.0,22.0,23.0,24.0,27.0,34.0,34.0,37.0,38.0,38.0,39.0,39.0,40.0,42.0,43.0,44.0,45.0,45.0,46.0,47.0,49.0,50.0,54.0,57.0,59.0,59.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
埼玉県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,9.0,9.0,10.0,10.0,15.0,17.0,23.0,30.0,32.0,32.0,32.0,37.0,38.0,42.0,45.0,52.0,54.0,55.0,62.0,63.0,70.0,76.0,82.0,87.0,89.0,105.0,108.0,124.0,140.0,168.0,187.0,203.0,225.0,265.0,325.0,362.0,393.0,429.0,450.0,485.0,541.0,588.0,616.0,660.0,680.0,691.0,701.0,731.0,763.0,794.0,811.0,824.0,833.0,835.0,852.0,860.0,864.0,891.0,897.0,902.0,917.0,921.0,936.0,951.0,963.0,965.0,966.0,966.0,970.0,976.0,981.0,985.0,987.0,989.0,992.0,995.0,996.0,997.0,998.0,998.0,998.0,998.0,999.0,1001.0,1003.0,1003.0,1003.0,1003.0,1003.0,1005.0,1006.0,1006.0,1007.0,1007.0,1008.0,1010.0,1015.0,1018.0,1019.0,1021.0,1021.0,1021.0,1022.0,1023.0,1025.0,1027.0,1035.0,1040.0,1045.0,1055.0,1070.0,1082.0,1095.0,1105.0,1111.0,1123.0,1136.0,1151.0,1185.0,1198.0,1225.0,1243.0,1255.0
大分県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,13.0,21.0,22.0,23.0,25.0,25.0,27.0,27.0,28.0,28.0,29.0,29.0,30.0,31.0,32.0,32.0,33.0,35.0,41.0,41.0,42.0,42.0,42.0,43.0,45.0,50.0,54.0,54.0,54.0,54.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
