Prefecture,2020-01-25,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-04,2020-02-13,2020-02-14,2020-02-15,2020-02-17,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06
三重県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,9.0,10.0,14.0,15.0,16.0,16.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
不明,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
京都府,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,8.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,19.0,21.0,21.0,26.0,27.0,35.0,36.0,39.0,45.0,60.0,68.0,70.0,71.0,77.0,80.0,84.0,89.0,93.0,100.0,103.0,106.0,111.0,114.0,117.0,121.0,124.0,128.0,132.0,140.0,143.0,144.0,146.0,149.0,159.0,162.0,165.0,167.0,168.0,171.0,171.0,172.0,175.0,177.0,183.0,184.0,187.0,187.0,187.0,191.0,192.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,195.0,196.0,196.0,196.0,196.0,196.0,196.0,197.0,200.0,200.0,201.0,202.0,203.0,205.0,208.0,208.0,208.0,208.0
佐賀県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
兵庫県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,6.0,8.0,11.0,18.0,25.0,28.0,32.0,35.0,38.0,40.0,43.0,45.0,47.0,50.0,53.0,54.0,56.0,56.0,57.0,60.0,62.0,63.0,65.0,71.0,76.0,77.0,78.0,83.0,89.0,90.0,100.0,110.0,123.0,142.0,150.0,158.0,162.0,170.0,188.0,200.0,210.0,214.0,215.0,224.0,230.0,239.0,256.0,260.0,267.0,269.0,272.0,273.0,277.0,278.0,281.0,283.0,288.0,288.0,291.0,293.0,294.0,294.0,299.0,302.0,302.0,302.0,302.0,303.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,305.0,305.0,305.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0
北海道,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,11.0,13.0,15.0,18.0,19.0,23.0,27.0,28.0,29.0,31.0,31.0,32.0,34.0,37.0,40.0,42.0,49.0,54.0,55.0,58.0,60.0,61.0,63.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,70.0,72.0,73.0,73.0,74.0,75.0,76.0,76.0,77.0,80.0,85.0,85.0,96.0,105.0,111.0,113.0,121.0,122.0,141.0,154.0,169.0,182.0,198.0,203.0,231.0,243.0,277.0,294.0,317.0,327.0,346.0,381.0,400.0,425.0,449.0,466.0,480.0,486.0,498.0,508.0,515.0,520.0,533.0,537.0,538.0,542.0,545.0,548.0,559.0,560.0,562.0,563.0,565.0,567.0,573.0,581.0,583.0,587.0,590.0,595.0,599.0,600.0,605.0,608.0,611.0,613.0,615.0,615.0,621.0,624.0,626.0,630.0,633.0,637.0,641.0,650.0,652.0,656.0,659.0,665.0,667.0,668.0,670.0,672.0,674.0,674.0,676.0,681.0,685.0,686.0,688.0,701.0,709.0,722.0,724.0,724.0,726.0,726.0,726.0,726.0,726.0
千葉県,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,17.0,17.0,17.0,19.0,19.0,20.0,21.0,23.0,24.0,24.0,25.0,27.0,28.0,33.0,60.0,73.0,84.0,89.0,91.0,92.0,103.0,118.0,121.0,123.0,134.0,144.0,156.0,174.0,193.0,197.0,203.0,215.0,230.0,244.0,259.0,269.0,281.0,290.0,298.0,306.0,319.0,323.0,329.0,329.0,337.0,342.0,348.0,350.0,352.0,356.0,359.0,360.0,362.0,364.0,367.0,368.0,368.0,368.0,369.0,371.0,371.0,372.0,378.0,379.0,381.0,381.0,381.0,382.0,382.0,382.0,383.0,383.0,384.0,385.0,386.0,386.0,391.0,391.0,392.0,393.0,393.0,393.0,394.0,395.0,395.0,395.0,397.0,406.0,407.0,410.0,413.0,414.0,422.0,426.0,429.0,430.0,430.0,432.0,432.0,432.0,435.0,441.0,448.0,449.0,452.0,453.0,455.0,457.0,458.0,463.0,470.0,470.0,473.0,473.0,473.0
和歌山県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,16.0,17.0,18.0,18.0,19.0,22.0,24.0,25.0,25.0,25.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
埼玉県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,11.0,16.0,17.0,17.0,17.0,18.0,19.0,19.0,21.0,23.0,24.0,24.0,25.0,26.0,29.0,31.0,31.0,33.0,35.0,41.0,41.0,51.0,60.0,68.0,75.0,80.0,87.0,103.0,115.0,132.0,146.0,163.0,173.0,186.0,215.0,239.0,248.0,270.0,277.0,280.0,286.0,299.0,317.0,331.0,337.0,344.0,349.0,350.0,358.0,364.0,367.0,382.0,386.0,391.0,398.0,401.0,410.0,420.0,425.0,425.0,425.0,425.0,428.0,431.0,434.0,437.0,438.0,440.0,442.0,443.0,443.0,443.0,444.0,444.0,444.0,444.0,444.0,445.0,446.0,446.0,446.0,446.0,446.0,447.0,448.0,448.0,448.0,448.0,449.0,449.0,450.0,450.0,451.0,451.0,451.0,451.0,451.0,452.0,453.0,454.0,457.0,460.0,463.0,467.0,473.0,479.0,485.0,491.0,494.0,498.0,502.0,509.0,535.0,539.0,561.0,570.0,580.0
大分県,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,16.0,17.0,17.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,26.0,28.0,28.0,28.0,28.0,28.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
